1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Abel E,14,-37.54,84.44,84.44,7,7000,11.62,11.76,0,3.27,,2.82,2.262,3.92,0,0.52,3.7,,0,0,0,0.06,0.17,280,35,10.37,4.38,2.24,19.55,45.25,49.66,16.13,16.63,13.98,28.12,18.14,21.26,26.54,13.73,,36.61,,0,1.18,0,1.49,1.88,0.6,1.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel E
Abel J,18.76,-36.2,79.87,79.87,9.4,9380,16.13,18.14,11.87,5.48,,2.52,1.742,6.05,0,0.76,5.42,,0.19,2.29,5.53,0.07,0.21,121.77,15.22,4.51,1.9,0.97,13.81,81.24,89.08,35.1,22.32,18.6,38.96,19.16,21.58,25.49,23.61,,46.81,,0,1.81,0,2.61,9.96,3.4,7.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel J
Abel K,9.94,-34.69,77.46,77.46,5,4970,8.25,8.35,0,1.79,,1.99,1.639,2.78,39.28,0.37,2.62,,0,0,0,0.05,0.14,198.8,24.85,7.36,3.11,1.59,7.27,21.09,23.17,6,11.78,10.01,19.2,11.68,13.46,16.43,8.95,,27.46,,0,0.83,0,0.96,0.5,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel K
Abel L,54.13,-34.55,82.39,82.39,27.1,27065,46.55,44.65,31.97,27.35,,3.47,2.404,14.88,2403.36,1.16,13.14,,0,11.45,56.3,0.14,0.42,266.75,33.34,9.88,4.17,2.13,103.86,401.24,438.57,347.74,64.82,52.33,126.89,69.16,80.87,100.66,72.79,,113.92,,4.98,4.47,7.8,8.37,319.27,108.2,248.2,Nectarian,2,Partly covered by Imbrian ejecta ,PC,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel L
Abel M,91.01,-32.38,83.52,83.52,45.5,45505,78.27,69.44,51.95,52.33,,4.06,2.83,23.15,7981.28,1.43,20.28,,0,21,175.65,0.2,0.59,391.82,48.98,14.51,6.12,3.13,215.91,678.67,740.64,827.47,109.32,86.9,226.4,129.79,154.56,197.38,126.43,,176.2,,7.74,6.94,14.35,14.81,1748.24,592.5,1359,pre-Nectarian,1,,W&B09,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abel M
Abenezra,43.19,-20.99,11.89,11.89,21.6,21595,37.14,36.85,25.88,20.63,,3.24,2.245,12.28,1426.63,1.06,10.88,,1,8.62,34.33,0.12,0.36,225.71,28.21,8.36,3.53,1.81,72.07,304.54,333.1,227.55,51.65,41.98,98.67,52.61,61.03,75.12,57.27,,94.25,,4.11,3.69,5.74,6.53,152.5,51.7,118.5,Upper Imbrian,4,,GHM 2,,,VL1645  R1651,1935,,,,,,,,,,,,,,,8.09,0.24,5.69,,,,,,,Abenezra
Abenezra A,22.19,-22.79,10.44,10.44,11.1,11095,19.08,20.92,13.89,8.98,3.31,2.65,1.833,6.97,306.34,0.81,6.23,,0.27,3.18,7.99,0.08,0.23,137.89,17.24,5.11,2.15,1.1,20.06,110.43,121.02,53.27,26.43,21.92,46.98,23.48,26.61,31.69,28.22,,53.89,,0,2.09,0,3.14,17.25,5.8,13.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra A
Abenezra B,13.77,-20.82,10.06,10.06,6.9,6885,11.43,11.57,0,3.17,2.77,2.77,2.227,3.86,0,0.51,3.64,,0,0,0,0.06,0.17,275.4,34.43,10.2,4.3,2.2,18.67,43.69,47.95,15.4,16.35,13.76,27.6,17.76,20.79,25.94,13.45,,36.11,,0,1.16,0,1.46,1.76,0.6,1.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra B
Abenezra C,43.69,-21.37,11.09,11.09,21.8,21845,37.57,37.22,26.16,20.93,,3.25,2.253,12.41,1465.07,1.07,10.98,,1.02,8.75,35.21,0.12,0.36,227.64,28.45,8.43,3.56,1.82,73.48,309.09,338.06,232.7,52.25,42.46,99.94,53.35,61.91,76.25,57.97,,95.17,,4.15,3.72,5.84,6.61,158.35,53.7,123.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra C
Abenezra D,7.25,-21.76,9.65,9.65,3.6,3625,6.02,6.09,0,1.02,1.25,1.45,1.218,2.03,15.24,0.27,1.9,,0,0,0,0.04,0.11,145,18.13,5.37,2.27,1.16,2.73,9.74,10.71,2.25,8.58,7.36,13.51,7.78,8.84,10.56,6.03,,21.07,,0,0.61,0,0.64,0.15,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Abenezra D
