1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Bonpland P,1.68,-10.93,-21.56,338.44,0.8,840,1.39,1.41,0,0.08,0.34,0.33,0.308,0.47,0.19,0.06,0.43,,0,0,0,0.01,0.04,33.6,4.2,1.24,0.53,0.27,0.02,0.15,0.16,0.01,1.97,1.77,2.65,1.19,1.26,1.36,0.97,,6.18,,0,0.14,0,0.1,0,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bonpland P
Bonpland R,2.48,-10.7,-18.62,341.38,1.2,1240,2.06,2.08,0,0.15,,0.49,0.444,0.69,0.61,0.09,0.64,,0,0,0,0.02,0.05,49.6,6.2,1.84,0.78,0.4,0.07,0.48,0.53,0.05,2.92,2.58,4.09,1.96,2.11,2.35,1.58,,8.56,,0,0.21,0,0.16,0,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bonpland R
Boole,61.34,63.79,-87.29,272.71,30.7,30670,52.75,49.66,35.93,31.97,,3.6,2.721,16.55,3208.23,1.22,14.58,,0,13.32,74.03,0.15,0.45,292.61,36.58,10.84,4.57,2.34,125.49,461.34,504.07,434.06,73.51,59.13,145.86,80.47,94.51,118.37,83.14,,126.53,,5.53,4.97,9.12,9.6,480.7,162.9,373.7,pre-Nectarian,1,,W&B09,,,RLA1963 IAU1964,1964,,,,,,,,,,,,,,,,,,,,,,,,Boole
Boole A,55.88,63.42,-80.57,279.43,27.9,27940,48.06,45.88,32.93,28.46,,3.5,2.427,15.29,2586.66,1.18,13.49,,0,11.9,60.36,0.14,0.43,273.11,34.14,10.12,4.27,2.18,109.07,416.11,454.77,368.24,66.93,53.98,131.47,71.88,84.14,104.9,75.3,,117,,5.11,4.59,8.12,8.66,354.31,120.1,275.4,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole A
Boole B,8.96,63.6,-77.7,282.3,4.5,4480,7.44,7.53,0,1.49,,1.8,1.486,2.51,28.77,0.33,2.36,,0,0,0,0.04,0.13,179.2,22.4,6.64,2.8,1.43,5.31,16.47,18.1,4.38,10.61,9.04,17.1,10.22,11.72,14.21,7.86,,25.17,,0,0.75,0,0.84,0.34,0.1,0.3,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole B
Boole C,17.48,65.37,-82.47,277.53,8.7,8740,14.51,17.08,11.11,4.84,,2.47,2.788,5.69,0,0.74,5.11,,0.17,1.96,4.74,0.07,0.2,115.57,14.45,4.28,1.81,0.92,11.72,70.95,77.81,29.26,20.79,17.36,36.01,17.59,19.76,23.26,21.9,,44.11,,0,1.71,0,2.42,7.9,2.7,6.1,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole C
Boole D,10.82,64.01,-83.38,276.62,5.4,5410,8.98,9.09,0,2.07,,2.17,1.775,3.03,50.67,0.4,2.85,,0,0,0,0.05,0.14,216.4,27.05,8.01,3.38,1.73,9.36,25.67,28.19,7.72,12.83,10.87,21.1,13.02,15.08,18.51,9.95,,29.49,,0,0.91,0,1.07,0.7,0.2,0.5,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole D
Boole E,15.95,62.84,-84.66,275.34,8,7975,13.24,15.8,10.2,4.11,,2.4,2.558,5.27,0,0.6,4.23,,0,0,0,0.06,0.19,108,13.5,4,1.69,0.86,9.43,59.19,64.93,22.98,18.96,15.88,32.51,15.74,17.63,20.66,19.87,,40.85,,0,1.58,0,2.18,5.85,2,4.6,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole E
Boole F,33.33,64.1,-79.41,280.59,16.7,16665,28.66,29.57,20.32,14.92,,3,2.075,9.86,784.02,0.96,8.76,,0.6,6.06,19.46,0.1,0.3,186.32,23.29,6.9,2.91,1.49,45.48,213.03,233.18,134.25,39.8,32.6,73.92,38.44,44.18,53.69,43.48,,75.83,,3.29,2.96,3.81,4.91,65.31,22.1,50.8,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole F
Boole G,40.49,65.27,-90.68,269.32,20.2,20245,34.82,34.89,24.37,19.03,,3.18,2.201,11.63,1229,1.03,10.31,,0.88,7.92,29.81,0.11,0.34,215.18,26.9,7.97,3.36,1.72,64.54,279.78,306.08,200.37,48.4,39.42,91.82,48.65,56.31,69.09,53.47,,89.28,,3.89,3.49,5.22,6.08,123.46,41.8,96,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole G
Boole H,82.4,61.73,-88.83,271.17,41.2,41200,70.86,63.82,47.34,46.22,,3.94,2.802,21.27,6344.08,1.37,18.67,,0,18.77,141.29,0.18,0.55,364.04,45.51,13.48,5.69,2.91,189.69,620.23,677.07,708.42,98.92,78.87,202.67,115.06,136.55,173.52,113.76,,162.1,,7.11,6.38,12.87,13.27,1262.85,428,981.7,pre-Nectarian,1,,W&B09,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole H
Boole R,13.56,64.39,-78.25,281.75,6.8,6780,11.25,11.39,0,3.09,,2.73,2.195,3.8,0,0.51,3.59,,0,0,0,0.06,0.17,271.2,33.9,10.04,4.24,2.17,17.89,42.28,46.41,14.76,16.1,13.55,27.13,17.41,20.37,25.38,13.2,,35.64,,0,1.14,0,1.43,1.66,0.6,1.3,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boole R
Borda,45.4,-25.2,46.52,46.52,22.7,22700,39.04,38.45,27.12,21.95,,3.29,2.279,12.82,1600.94,1.08,11.34,,1.1,9.19,38.3,0.12,0.37,234.2,29.28,8.67,3.66,1.87,78.35,324.57,354.95,250.6,54.31,44.08,104.31,55.89,64.95,80.14,60.39,,98.28,,4.28,3.85,6.16,6.9,179.55,60.9,139.6,Nectarian,2,,PC,,,M1834,1935,,,,,,,,,,,,,,,8.13,0.23,5.66,,,,,,,Borda
Borda A,18.35,-26.87,50.8,50.8,9.2,9175,15.78,17.8,11.63,5.27,,2.51,1.73,5.93,0,0.75,5.32,,0.19,2.18,5.27,0.07,0.2,119.8,14.97,4.44,1.87,0.96,13.12,77.9,85.43,33.17,21.83,18.21,38.01,18.65,20.99,24.77,23.06,,45.95,,0,1.78,0,2.55,9.26,3.1,7.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda A
Borda D,5.37,-24.57,46.12,46.12,2.7,2685,4.46,4.51,0,0.6,,1.07,0.918,1.5,6.19,0.2,1.41,,0,0,0,0.03,0.09,107.4,13.43,3.98,1.68,0.86,1.02,4.42,4.87,0.84,6.34,5.49,9.67,5.29,5.92,6.94,4.15,,16.38,,0,0.45,0,0.43,0.05,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda D
Borda E,11.95,-24.01,45.48,45.48,6,5975,9.92,10.04,0,2.47,,2.4,1.949,3.35,68.26,0.45,3.16,,0,0,0,0.05,0.15,239,29.88,8.85,3.73,1.91,12.51,32.12,35.26,10.32,14.18,11.98,23.57,14.8,17.21,21.27,11.27,,32.05,,0,1,0,1.21,1.02,0.3,0.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda E
Borda F,9.96,-26.19,47.89,47.89,5,4980,8.27,8.37,0,1.79,,2,1.642,2.79,39.52,0.37,2.63,,0,0,0,0.05,0.14,199.2,24.9,7.38,3.11,1.59,7.32,21.19,23.28,6.04,11.81,10.03,19.24,11.71,13.5,16.48,8.97,,27.51,,0,0.84,0,0.96,0.51,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda F
Borda G,6.55,-26.31,45.31,45.31,3.3,3275,5.44,5.5,0,0.86,,1.31,1.107,1.83,11.24,0.24,1.72,,0,0,0,0.03,0.1,131,16.38,4.85,2.05,1.05,1.97,7.5,8.25,1.62,7.74,6.66,12.06,6.83,7.72,9.16,5.31,,19.35,,0,0.55,0,0.56,0.1,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda G
Borda H,10.84,-26.74,46.59,46.59,5.4,5420,9,9.11,0,2.08,,2.18,1.778,3.04,50.95,0.4,2.86,,0,0,0,0.05,0.14,216.8,27.1,8.03,3.39,1.73,9.41,25.78,28.31,7.77,12.86,10.89,21.14,13.05,15.11,18.55,9.98,,29.54,,0,0.91,0,1.07,0.7,0.2,0.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda H
Borda J,14.97,-27.02,46.97,46.97,7.5,7485,12.43,12.57,0,3.68,,3.01,2.409,4.19,0,0.56,3.96,,0,0,0,0.06,0.18,299.4,37.43,11.09,4.68,2.4,23.49,52.02,57.08,19.38,17.79,14.93,30.3,19.77,23.24,29.15,14.93,,38.73,,0,1.26,0,1.63,2.43,0.8,1.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda J
Borda K,12.33,-27.54,47.14,47.14,6.2,6165,10.23,10.36,0,2.61,,2.48,2.007,3.45,74.98,0.46,3.26,,0,0,0,0.05,0.16,246.6,30.83,9.13,3.85,1.97,13.68,34.42,37.79,11.29,14.63,12.35,24.41,15.4,17.94,22.22,11.72,,32.91,,0,1.04,0,1.26,1.15,0.4,0.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda K
Borda L,12.65,-27.06,47.63,47.63,6.3,6325,10.5,10.63,0,2.73,,2.54,2.056,3.54,80.97,0.47,3.34,,0,0,0,0.05,0.16,253,31.63,9.37,3.95,2.02,14.71,36.4,39.96,12.14,15.02,12.66,25.11,15.92,18.57,23.03,12.1,,33.62,,0,1.06,0,1.31,1.27,0.4,1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda L
Borda M,13.88,-25.43,43.91,43.91,6.9,6940,11.52,11.66,0,3.22,0.97,2.79,2.244,3.89,0,0.52,3.67,,0,0,0,0.06,0.17,277.6,34.7,10.28,4.34,2.22,19.09,44.43,48.76,15.75,16.49,13.86,27.85,17.94,21.01,26.23,13.59,,36.35,,0,1.17,0,1.47,1.82,0.6,1.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda M
Borda R,14.38,-27.43,50.53,50.53,7.2,7190,11.94,12.08,0,3.43,,2.89,2.32,4.03,0,0.54,3.81,,0,0,0,0.06,0.17,287.6,35.95,10.65,4.49,2.3,21.04,47.86,52.52,17.36,17.08,14.35,28.97,18.77,22.03,27.56,14.2,,37.44,,0,1.21,0,1.54,2.08,0.7,1.6,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Borda R
Borel,4.66,22.37,26.42,26.42,2.3,2330,3.87,3.91,0,0.47,,0.93,0.804,1.3,4.05,0.17,1.22,,0,0,0,0.03,0.08,93.2,11.65,3.45,1.46,0.75,0.63,3,3.3,0.52,5.5,4.78,8.25,4.41,4.9,5.69,3.47,0,14.54,18.3,0,0.39,0,0.36,0.03,0,0,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Borel
Boris,1.73,30.53,-33.5,326.5,0.9,865,1.44,1.45,0,0.08,,0.34,0.316,0.48,0.21,0.06,0.45,,0,0,0,0.01,0.04,34.6,4.33,1.28,0.54,0.28,0.02,0.16,0.18,0.01,2.03,1.82,2.74,1.23,1.31,1.42,1.01,,6.33,,0,0.15,0,0.1,0,0,0,,,,,,,IAU1979,1979,,,,,,,,,,,,,,,,,,,,,,,,Boris
Borman,50.72,-39.06,-148.25,211.75,25.4,25360,43.62,42.25,30.08,25.21,,3.4,2.357,14.08,2067.95,1.13,12.44,,1.37,10.57,48.82,0.13,0.4,254.21,31.78,9.42,3.97,2.03,93.78,371.79,406.45,308.73,60.71,49.11,118.02,63.92,74.57,92.52,67.93,,107.86,,4.71,4.22,7.17,7.79,258.04,87.4,200.6,Lower Imbrian,3,,GHM 2,,,IAU1970,1970,ol-norite ,37.5,10,0,52.5,0.9,,73 ± 6,3 ± 2,18 ± 7,6 ± 4,8 ± 1,GNTA2,highland,,,,,,,,,,Borman
Borman V,28.01,-37.63,-151.4,208.6,14,14005,24.09,25.51,17.27,12.01,,2.85,1.968,8.5,524.65,0.89,7.57,,0.43,4.68,13.3,0.09,0.27,163.82,20.48,6.07,2.56,1.31,32.53,163.26,178.8,91.78,33.41,27.51,60.9,31.13,35.57,42.86,36.15,,65.53,,2.84,2.55,2.74,4.06,36.97,12.5,28.7,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Borman V
Born,15.07,-6.05,66.83,66.83,7.5,7535,12.51,15.06,9.68,3.72,,2.36,2.425,5.02,0,0.56,3.99,,0,0,0,0.06,0.18,103.55,12.94,3.84,1.62,0.83,8.22,52.74,57.87,19.73,17.91,15.02,30.52,14.69,16.42,19.19,18.71,,38.95,,0,1.51,0,2.05,4.86,1.6,3.8,,,,,,,IAU1979,1979,,,,,,,,,,,,,,,,,,,,,,,,Born
Borya,0.4,38.3,-35,325,0.2,200,0.33,0.34,0,0.01,,0.08,0.057,0.11,0,0.01,0.1,,0,0,0,0.01,0.02,8,1,0.3,0.13,0.06,0,0,0,0,0,0,0.54,0.19,0.19,0.18,0.16,,1.85,,0,0.03,0,0,0,0,0,,,Lunokhod-1,,,,IAU2012,14-Jun-12,,,,,,,,,,,,,,,,,,,,,,,,Borya
Bosch,19.58,86.82,133.54,133.54,9.8,9790,16.84,18.81,12.36,5.91,,2.56,1.765,6.27,229.44,0.77,5.61,,0.21,2.5,6.07,0.071,0.213,125.69,15.71,4.66,1.96,1.01,15.22,88.03,96.51,39.11,23.3,19.4,40.86,20.18,22.76,26.95,24.71,,48.52,,0,1.88,0,2.74,11.45,3.9,8.9,,,,,,,IAU2009,22-Jan-09,,,,,,,,,,,,,,,,,,,,,,,,Bosch
Boscovich,41.53,9.71,11.01,11.01,20.8,20765,35.72,35.65,24.95,19.64,1.76,3.2,2.218,11.88,1303.15,1.04,10.53,,0.93,8.19,31.51,0.12,0.35,219.26,27.41,8.12,3.43,1.75,67.42,289.35,316.52,210.7,49.65,40.41,94.45,50.17,58.12,71.4,54.93,,91.2,,3.97,3.56,5.42,6.25,134.14,45.5,104.3,,,,,,,VL1645  S1791,1935,,,,,,,,,,,,,,,,,,,,,,,,Boscovich
Boscovich A,5.83,9.46,12.63,12.63,2.9,2915,4.84,4.9,0,0.7,1.13,1.16,0.992,1.63,7.93,0.22,1.53,,0,0,0,0.03,0.1,116.6,14.58,4.32,1.82,0.93,1.34,5.52,6.07,1.11,6.89,5.95,10.59,5.88,6.61,7.79,4.59,,17.55,,0,0.49,0,0.48,0.06,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boscovich A
Boscovich B,4.34,9.79,9.22,9.22,2.2,2170,3.6,3.65,0,0.41,0.75,0.86,0.751,1.22,3.27,0.16,1.13,,0,0,0,0.03,0.08,86.8,10.85,3.21,1.36,0.69,0.49,2.46,2.71,0.41,5.12,4.46,7.62,4.02,4.46,5.15,3.18,,13.7,,0,0.36,0,0.33,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boscovich B
Boscovich C,3.06,8.47,11.96,11.96,1.5,1530,2.54,2.57,0,0.22,0.55,0.61,0.541,0.86,1.15,0.11,0.8,,0,0,0,0.02,0.06,61.2,7.65,2.27,0.96,0.49,0.14,0.9,0.99,0.12,3.6,3.17,5.16,2.57,2.8,3.16,2.05,,10.22,,0,0.26,0,0.21,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boscovich C
Boscovich D,3.48,8.97,12.19,12.19,1.7,1740,2.89,2.92,0,0.28,0.55,0.69,0.61,0.97,1.69,0.13,0.91,,0,0,0,0.02,0.07,69.6,8.7,2.58,1.09,0.56,0.23,1.31,1.44,0.19,4.1,3.59,5.96,3.03,3.32,3.78,2.41,,11.38,,0,0.29,0,0.25,0.01,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boscovich D
Boscovich E,19.77,9.03,12.72,12.72,9.9,9885,17,18.97,12.47,6.01,0.66,2.56,1.77,6.32,234.61,0.78,5.66,,0.21,2.55,6.2,0.07,0.21,126.59,15.82,4.69,1.98,1.01,15.55,89.62,98.25,40.07,23.53,19.58,41.3,20.42,23.04,27.29,24.96,,48.91,,0,1.9,0,2.77,11.82,4,9.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boscovich E
Boscovich F,4,10.44,11.37,11.37,2,2000,3.32,3.36,0,0.36,,0.79,0.696,1.12,2.56,0.15,1.04,,0,0,0,0.02,0.07,80,10,2.96,1.25,0.64,0.37,1.95,2.15,0.31,4.72,4.12,6.96,3.62,4,4.59,2.87,,12.79,,0,0.34,0,0.3,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boscovich F
Boscovich P,64.82,11.47,10.31,10.31,32.4,32410,55.75,52.04,37.83,34.25,,3.66,2.736,17.35,3644.39,1.25,15.27,,0,14.22,83.54,0.16,0.47,304.81,38.1,11.29,4.76,2.44,136.04,489.28,534.5,477.34,77.7,62.4,155.11,86.04,101.24,127.14,88.16,,132.53,,5.8,5.2,9.75,10.2,575.84,195.1,447.6,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boscovich P
Bose,92.55,-53.95,-169.36,190.64,46.3,46275,79.59,70.44,52.77,53.44,,4.08,2.835,23.48,8296.72,1.44,20.57,,0,21.4,182.22,0.2,0.59,396.72,49.59,14.69,6.2,3.17,220.59,688.76,751.62,849.09,111.18,88.33,230.68,132.45,157.82,201.72,128.71,,178.7,,7.85,7.04,14.62,15.08,1846.92,625.9,1435.7,Nectarian,2,,GHM 2 PC,,,IAU1970,1970,ol-gabbroic norite,14.6,26.9,26.4,32.1,2.1,1,,,,,,"GNTA2, AGN, AN",basin,,,,0.2-0.5,C,SPA,,,,Bose
Bose A,30.84,-49.66,-167.45,192.55,15.4,15420,26.52,27.68,18.89,13.54,,2.93,2.026,9.23,655.29,0.93,8.21,,0.51,5.42,16.42,0.1,0.29,175.92,21.99,6.52,2.75,1.41,39.27,189.67,207.66,113.59,36.81,30.22,67.79,34.99,40.1,48.55,40.04,,71.04,,3.08,2.77,3.32,4.51,50.65,17.2,39.4,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bose A
Bose D,19.59,-53.13,-166.92,193.08,9.8,9795,16.85,18.82,12.36,5.91,,2.56,1.765,6.27,229.71,0.77,5.62,,0.21,2.5,6.08,0.07,0.21,125.74,15.72,4.66,1.96,1.01,15.23,88.11,96.6,39.16,23.32,19.41,40.88,20.19,22.78,26.96,24.72,,48.54,,0,1.88,0,2.74,11.47,3.9,8.9,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bose D
Bose U,40,-53.12,-176.05,183.95,20,20000,34.4,34.53,24.09,18.74,,3.17,2.193,11.51,1194.91,1.03,10.2,,0.86,7.79,29.02,0.11,0.34,213.25,26.66,7.9,3.33,1.71,63.19,275.26,301.14,195.56,47.81,38.95,90.58,47.94,55.46,68.01,52.78,,88.37,,3.85,3.45,5.13,6,118.64,40.2,92.2,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Bose U
Boss,50.2,45.75,88.68,88.68,25.1,25100,43.17,41.88,29.79,24.89,,3.39,2.35,13.96,2019.31,1.13,12.33,,1.34,10.43,47.73,0.13,0.4,252.28,31.54,9.34,3.94,2.02,92.25,367.24,401.49,302.89,60.09,48.62,116.67,63.13,73.62,91.29,67.19,,106.94,,4.67,4.19,7.07,7.7,249.48,84.5,193.9,Upper Imbrian,4,Not on Plate 9A but probably Upper Imbrian; possibly Lower Imbrian ,W&B09,,,RLA1963 IAU1964,1964,,,,,,,,,,,,,,,,,,,,,,,,Boss
Boss A,29.19,52.21,80.18,80.18,14.6,14595,25.1,26.42,17.95,12.65,,2.88,1.993,8.81,577.12,0.91,7.84,,0.46,4.99,14.56,0.09,0.28,168.9,21.11,6.26,2.64,1.35,35.29,174.24,190.8,100.64,34.82,28.64,63.76,32.73,37.45,45.21,37.77,,67.84,,2.94,2.64,2.98,4.24,42.31,14.3,32.9,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss A
Boss B,14.5,52.02,78.13,78.13,7.3,7250,12.04,12.18,0,3.48,,2.92,2.338,4.06,0,0.54,3.84,,0,0,0,0.06,0.17,290,36.25,10.74,4.53,2.32,21.53,48.7,53.44,17.76,17.23,14.47,29.24,18.97,22.27,27.88,14.35,,37.71,,0,1.22,0,1.56,2.15,0.7,1.7,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss B
Boss C,22.78,52.26,76.67,76.67,11.4,11390,19.59,21.4,14.24,9.28,,2.68,1.848,7.13,325.48,0.82,6.37,,0.28,3.33,8.46,0.08,0.24,140.59,17.57,5.21,2.2,1.12,21.23,115.63,126.72,56.75,27.14,22.49,48.37,24.24,27.49,32.79,29.02,,55.09,,0,2.14,0,3.23,18.8,6.4,14.6,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss C
Boss D,15.59,44.36,87.59,87.59,7.8,7795,12.94,15.5,9.99,3.95,,2.39,2.503,5.17,0,0.58,4.13,,0,0,0,0.06,0.18,106.19,13.27,3.93,1.66,0.85,8.93,56.52,62.01,21.62,18.53,15.53,31.7,15.31,17.13,20.06,19.4,,40.07,,0,1.55,0,2.13,5.43,1.8,4.2,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss D
Boss F,30.49,54.17,89.09,89.09,15.2,15245,26.22,27.41,18.69,13.35,,2.92,2.019,9.14,638.23,0.92,8.13,,0.5,5.33,16.02,0.1,0.29,174.44,21.8,6.46,2.73,1.4,38.41,186.39,204.08,110.79,36.39,29.89,66.93,34.51,39.54,47.84,39.56,,70.36,,3.05,2.74,3.24,4.45,48.8,16.5,37.9,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss F
Boss K,20.44,49.53,81.15,81.15,10.2,10220,17.58,19.51,12.86,8.1,,2.59,1.788,6.5,253.39,0.79,5.82,,0.23,2.72,6.67,0.07,0.22,129.75,16.22,4.81,2.03,1.04,16.75,95.28,104.45,43.55,24.33,20.23,42.87,21.26,24.02,28.49,25.86,,50.3,,0,1.95,0,2.87,13.18,4.5,10.2,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss K
Boss L,40.95,50.85,82.48,82.48,20.5,20475,35.22,35.22,24.63,19.3,,3.19,2.209,11.74,1261.49,1.04,10.4,,0.9,8.04,30.55,0.12,0.35,216.99,27.12,8.04,3.39,1.74,65.81,284.02,310.7,204.92,48.95,39.86,92.98,49.32,57.11,70.11,54.12,,90.13,,3.92,3.52,5.31,6.16,128.11,43.4,99.6,Nectarian,2,Younger than Humboldtianum Basin ,PC,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss L
Boss M,12.95,51.9,83.87,83.87,6.5,6475,10.75,10.88,0,2.85,,2.6,2.102,3.63,86.87,0.48,3.42,,0,0,0,0.05,0.16,259,32.38,9.59,4.05,2.07,15.72,38.31,42.05,12.97,15.37,12.96,25.78,16.41,19.16,23.8,12.46,,34.29,,0,1.09,0,1.35,1.39,0.5,1.1,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss M
Boss N,15.42,52.03,85.8,85.8,7.7,7710,12.8,15.36,9.89,3.88,,2.38,2.478,5.12,0,0.58,4.08,,0,0,0,0.06,0.18,105.33,13.17,3.9,1.65,0.84,8.69,55.27,60.64,20.99,18.33,15.36,31.31,15.11,16.9,19.77,19.17,,39.7,,0,1.54,0,2.1,5.24,1.8,4.1,,,,,,,RLA1963?,2006,,,,,,,,,,,,,,,,,,,,,,,,Boss N
Bouguer,22.23,52.32,-35.82,324.18,11.1,11115,19.12,20.96,13.91,9,,2.66,1.834,6.99,307.61,0.81,6.24,,0.27,3.19,8.02,0.08,0.23,138.07,17.26,5.11,2.16,1.1,20.14,110.78,121.41,53.5,26.48,21.96,47.07,23.53,26.67,31.77,28.28,,53.97,,0,2.1,0,3.15,17.35,5.9,13.5,,,,,,,M1834,1935,,,,,,,,,,,,,,,,,,,,,,,rays,Bouguer
Bouguer A,7.37,52.61,-33.89,326.11,3.7,3685,6.12,6.19,0,1.05,,1.47,1.237,2.06,16.01,0.27,1.94,,0,0,0,0.04,0.11,147.4,18.43,5.46,2.3,1.18,2.88,10.15,11.16,2.37,8.72,7.47,13.75,7.95,9.04,10.81,6.16,,21.36,,0,0.62,0,0.65,0.16,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouguer A
Bouguer B,8,53.36,-33.07,326.93,4,4000,6.64,6.72,0,1.22,,1.6,1.336,2.24,20.48,0.3,2.1,,0,0,0,0.04,0.12,160,20,5.93,2.5,1.28,3.73,12.48,13.71,3.08,9.47,8.1,15.07,8.83,10.08,12.13,6.82,,22.89,,0,0.67,0,0.72,0.22,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Bouguer B
